Image number,Dengue fever risk,Probability,Date/Time,Latitude,Longitude
0191,High risk,0.99609375,2023-04-24 01:39:27.605532,-13.549953597400469,-169.03730895191939
0192,High risk,0.515625,2023-04-24 01:39:37.333573,-14.036579249341624,-168.66461450811735
0193,High risk,0.99609375,2023-04-24 01:39:47.448295,-14.541772896565712,-168.27526055895981
0194,No risk,0.35546875,2023-04-24 01:39:57.704036,-15.053161276174526,-167.87848700188962
0195,High risk,0.99609375,2023-04-24 01:40:08.379401,-15.584519736360427,-167.46327022329962
0196,High risk,0.99609375,2023-04-24 01:40:18.256523,-16.07526900994666,-167.07699745425538
0197,High risk,0.99609375,2023-04-24 01:40:28.696304,-16.592995478310595,-166.66645931913618
0198,High risk,0.99609375,2023-04-24 01:40:38.925075,-17.09925712520717,-166.26187354983782
0199,High risk,0.99609375,2023-04-24 01:40:48.825473,-17.58828443798795,-165.86798935686775
0200,High risk,0.99609375,2023-04-24 01:40:58.363780,-18.05849742618123,-165.48629764331685
0201,High risk,0.99609375,2023-04-24 01:41:07.960784,-18.530625591785086,-165.10001603253824
0202,High risk,0.99609375,2023-04-24 01:41:17.904351,-19.018737683084048,-164.69733533225755
0203,High risk,0.984375,2023-04-24 01:41:28.156522,-19.520862844606757,-164.27943201874598
0204,High risk,0.99609375,2023-04-24 01:41:38.475206,-20.02500117601701,-163.85596763174848
0205,High risk,0.99609375,2023-04-24 01:41:49.123063,-20.54388421785342,-163.41588736480804
0206,High risk,0.99609375,2023-04-24 01:41:59.333999,-21.040159491408648,-162.99080479541269
0207,High risk,0.99609375,2023-04-24 01:42:08.642829,-21.491422212958348,-162.60059581696135
0208,High risk,0.99609375,2023-04-24 01:42:18.577291,-21.971762358503987,-162.18124589615778
0209,High risk,0.99609375,2023-04-24 01:42:28.438661,-22.44722926877971,-161.76194083053082
0210,High risk,0.99609375,2023-04-24 01:42:38.347761,-22.923621357769793,-161.33746182191481
0211,High risk,0.43359375,2023-04-24 01:42:47.891532,-23.38114288819224,-160.92553887102582
0212,Low risk,0.390625,2023-04-24 01:42:57.762925,-23.85292784771614,-160.49624373699277
0213,High risk,0.99609375,2023-04-24 01:43:08.176677,-24.34903261637945,-160.03967156978845
0214,Low risk,0.6484375,2023-04-24 01:43:18.426304,-24.835642714366617,-159.58651464688728
0215,Low risk,0.546875,2023-04-24 01:43:29.184545,-25.344574016391636,-159.1067088379168
0216,High risk,0.73046875,2023-04-24 01:43:39.617904,-25.836297398741586,-158.6372081634659
0217,Low risk,0.5,2023-04-24 01:43:49.304562,-26.291147282518942,-158.19753516393342
0218,High risk,0.94140625,2023-04-24 01:43:58.935679,-26.741758326409634,-157.75667089638756
0219,High risk,0.99609375,2023-04-24 01:44:08.474332,-27.1863705445902,-157.3163287107002
0220,High risk,0.95703125,2023-04-24 01:44:18.494436,-27.651612652026934,-156.84965828459403
0221,High risk,0.99609375,2023-04-24 01:44:28.680542,-28.122582291741534,-156.3708688194635
0222,High risk,0.98828125,2023-04-24 01:44:38.658402,-28.58194160250782,-155.89746705145674
0223,High risk,0.99609375,2023-04-24 01:44:48.858422,-29.04944326427954,-155.4089163396363
0224,High risk,0.99609375,2023-04-24 01:44:58.957876,-29.510230306228188,-154.9204517862311
0225,High risk,0.99609375,2023-04-24 01:45:09.351752,-29.982161990217424,-154.41275756616633
0226,High risk,0.99609375,2023-04-24 01:45:19.424517,-30.437248394347716,-153.91579511615467
0227,High risk,0.99609375,2023-04-24 01:45:29.720348,-30.90005375015239,-153.4026620539472
0228,High risk,0.99609375,2023-04-24 01:45:39.741624,-31.348156791912096,-152.89809343712741
0229,High risk,0.99609375,2023-04-24 01:45:50.100844,-31.808860283241444,-152.37107706474072
0230,High risk,0.96484375,2023-04-24 01:46:00.244732,-32.25743728399495,-151.84955724514435
0231,High risk,0.99609375,2023-04-24 01:46:10.278946,-32.69864542589102,-151.32821075570092
0232,High risk,0.99609375,2023-04-24 01:46:20.236401,-33.133903655347446,-150.80540332635178
0233,High risk,0.99609375,2023-04-24 01:46:30.250786,-33.56900533381307,-150.27400679518638
0234,High risk,0.99609375,2023-04-24 01:46:40.232826,-33.99999995922193,-149.738614843777
0235,High risk,0.99609375,2023-04-24 01:46:50.286583,-34.4312902482866,-149.19349941846534
0236,High risk,0.99609375,2023-04-24 01:47:00.267621,-34.85659103479521,-148.6463991454637
0237,High risk,0.99609375,2023-04-24 01:47:10.234704,-35.27841120754024,-148.09400149762797
0238,High risk,0.99609375,2023-04-24 01:47:19.966658,-35.68739771860851,-147.54871599521167
0239,High risk,0.99609375,2023-04-24 01:47:30.008153,-36.10632204485888,-146.97985450521108
0240,High risk,0.99609375,2023-04-24 01:47:40.052390,-36.52219645981004,-146.40434113850378
0241,High risk,0.99609375,2023-04-24 01:47:49.910030,-36.92715995828201,-145.83312798417427
0242,High risk,0.99609375,2023-04-24 01:48:00.041283,-37.34000649926079,-145.23932585685847
0243,High risk,0.99609375,2023-04-24 01:48:10.010177,-37.742823746684614,-144.64827179118163
0244,High risk,0.99609375,2023-04-24 01:48:19.968798,-38.141765343619824,-144.05100263701874
0245,High risk,0.99609375,2023-04-24 01:48:30.429081,-38.556989937343566,-143.41616980947887
0246,High risk,0.99609375,2023-04-24 01:48:39.979722,-38.93261028798978,-142.8297421002776
0247,High risk,0.99609375,2023-04-24 01:48:50.293942,-39.3344007941404,-142.18905270680054
0248,High risk,0.99609375,2023-04-24 01:49:00.275731,-39.71935748184405,-141.5615651449203
0249,High risk,0.99609375,2023-04-24 01:49:10.203667,-40.09833360464566,-140.93012082810193
0250,High risk,0.99609375,2023-04-24 01:49:19.884781,-40.464059983982104,-140.3072052159105
0251,High risk,0.99609375,2023-04-24 01:49:30.256456,-40.851564779937426,-139.6319166454896
0252,High risk,0.99609375,2023-04-24 01:49:40.321909,-41.2232686887703,-138.9685996886572
0253,High risk,0.99609375,2023-04-24 01:49:50.401522,-41.59110601826295,-138.29634998883347
0254,High risk,0.99609375,2023-04-24 01:50:00.352615,-41.949822569735446,-137.6247570310446
0255,High risk,0.99609375,2023-04-24 01:50:09.982053,-42.292653475519344,-136.96730407970907
0256,High risk,0.99609375,2023-04-24 01:50:20.036896,-42.646021553190984,-136.2727774253134
0257,High risk,0.98828125,2023-04-24 01:50:29.954355,-42.98984648728333,-135.57961940256038
0258,High risk,0.9765625,2023-04-24 01:50:40.123717,-43.33744940750261,-134.86035850303074
0259,High risk,0.69921875,2023-04-24 01:50:49.670066,-43.659060384912564,-134.1773216463933
0260,High risk,0.94921875,2023-04-24 01:51:00.378882,-44.01431106699239,-133.40197301601563
0261,High risk,0.99609375,2023-04-24 01:51:10.314841,-44.338580479506085,-132.6738805928559
0262,High risk,0.99609375,2023-04-24 01:51:19.737661,-44.641249090940605,-131.97559612616666
0263,High risk,0.99609375,2023-04-24 01:51:29.534386,-44.95080158325224,-131.24153551116572
0264,High risk,0.99609375,2023-04-24 01:51:39.203331,-45.251093647195546,-130.50892921023447
0265,High risk,0.99609375,2023-04-24 01:51:48.680561,-45.540292029803766,-129.78299134012425
0266,Low risk,0.921875,2023-04-24 01:51:58.088704,-45.82223540691648,-129.0546634623346
0267,High risk,0.99609375,2023-04-24 01:52:07.522867,-46.09972131108826,-128.31658824534534
0268,Low risk,0.92578125,2023-04-24 01:52:26.494393,-46.64142441517803,-126.80893994887671
0269,Low risk,0.99609375,2023-04-24 01:52:36.067166,-46.9062782755293,-126.03634705186558
0270,Low risk,0.98828125,2023-04-24 02:37:49.723904,44.74146972621913,36.45612875879799
0271,High risk,0.890625,2023-04-24 02:38:01.277170,45.10421448561403,37.32648301402656
0272,High risk,0.6171875,2023-04-24 02:38:12.176376,45.43956506552928,38.158187421898084
0273,High risk,0.66015625,2023-04-24 02:38:22.806657,45.76006766321296,38.97932322016228
0274,High risk,0.8984375,2023-04-24 02:38:34.505551,46.105103183248204,39.89437189603698
0275,Low risk,0.66015625,2023-04-24 02:38:43.203870,46.35632077846645,40.58248151929792
0276,Low risk,0.80859375,2023-04-24 02:38:53.195230,46.639155644169584,41.38101699990094
0277,Low risk,0.64453125,2023-04-24 02:39:02.840794,46.90628817593185,42.16017407912281
0278,High risk,0.98046875,2023-04-24 02:39:13.160752,47.18552456108484,43.00272902219958
0279,No risk,0.546875,2023-04-24 02:39:22.925954,47.443390154722294,43.80850387128205
0280,No risk,0.77734375,2023-04-24 02:39:33.232321,47.70869367327517,44.667818521660344
0281,No risk,0.99609375,2023-04-24 02:39:43.209507,47.9586942476166,45.508318316772446
0282,Low risk,0.76171875,2023-04-24 02:39:52.854005,48.19386397810819,46.328822913908844
0283,Low risk,0.96484375,2023-04-24 02:40:02.881781,48.431479701391744,47.19018982289428
0284,Low risk,0.6171875,2023-04-24 02:40:13.090465,48.666033241865286,48.07564756766797
0285,Low risk,0.703125,2023-04-24 02:40:23.248902,48.89194350680356,48.96518491258482
0286,Low risk,0.79296875,2023-04-24 02:40:33.234830,49.10661806817069,49.84770503316628
0287,High risk,0.8359375,2023-04-24 02:40:43.284380,49.31513094270499,50.74378665922777
0288,High risk,0.61328125,2023-04-24 02:40:52.974468,49.50892214281016,51.61520881852031
0289,High risk,0.98828125,2023-04-24 02:41:03.302971,49.70750574403616,52.551830289199486
0290,High risk,0.96875,2023-04-24 02:41:13.246500,49.89079782256924,53.46093266759243
0291,High risk,0.94140625,2023-04-24 02:41:23.233450,50.06700574860526,54.3811822488573
0292,High risk,0.9765625,2023-04-24 02:41:33.260198,50.23584062568309,55.31201740962336
0293,High risk,0.68359375,2023-04-24 02:41:43.245432,50.395837385544596,56.24568163582546
0294,High risk,0.98046875,2023-04-24 02:41:53.289532,50.548480004211285,57.19131321740153
0295,High risk,0.99609375,2023-04-24 02:42:03.274475,50.69188110718496,58.13755106183233
0296,High risk,0.9921875,2023-04-24 02:42:13.279855,50.82713809574283,59.0916142889848
0297,High risk,0.98046875,2023-04-24 02:42:23.265339,50.953612430397676,60.049331643629316
0298,High risk,0.98828125,2023-04-24 02:42:33.330889,51.07241257558141,61.02006217420296
0299,High risk,0.921875,2023-04-24 02:42:43.330236,51.18171238763337,61.98937189057092
